,id,Category,Name,Amount,Unit,List_Price,Price_per_unit_of_measure,Currency
172,2965860,mercearia,Grão de Bico Cozido sem Glúten,0.82,KG,2.39,4.60,€
173,4080912,mercearia,Cogumelos Laminados sem Glúten,0.29,KG,1.19,7.68,€
174,2005830,mercearia,Batata Frita Ondulada,0.2,KG,1.29,6.45,€
175,6882336,mercearia,Saqueta de Fruta Maçã e Pêssego +6M,0.09,KG,0.74,8.22,€
176,7319490,mercearia,Saqueta de Fruta Tutti Frutti +12M,0.11,KG,0.84,7.64,€
177,7314137,mercearia,Atum em Óleo de Girassol,0.385,KG,2.53,10.12,€
178,2005211,mercearia,Salsichas Frankfurt Originais Lata 8 un,0.35,KG,1.69,8.45,€
179,7078329,mercearia,Batata Frita Lisa Clássica,0.17,KG,1.35,7.94,€
180,2620246,mercearia,Atum em Posta em Óleo de Girassol,0.12,KG,1.5,19.23,€
181,6950837,mercearia,Cereais Chocapic,0.74,KG,5.79,7.82,€
182,2003580,mercearia,Feijão Frade Cozido,0.845,KG,1.99,4.25,€
183,7466560,mercearia,Grão Bico Cozido sem Glúten,0.54,KG,0.89,2.23,€
184,6934229,mercearia,Bolachas Mini Marinheiras de Chia,0.05,KG,0.89,17.80,€
185,5804651,mercearia,Salsichas de Aves Hot Dog Frasco 4 un,0.43,KG,2.39,10.39,€
187,6046632,mercearia,Alho Moído em Saqueta,0.06,KG,0.69,11.50,€
188,4773581,mercearia,Bolachas Crackers sem Sal na Superfície,0.5,KG,1.89,3.78,€
189,3040677,mercearia,Arroz Basmati,2.5,KG,5.65,2.26,€
190,7143964,mercearia,Bolachas Tostadas,0.8,KG,1.79,2.24,€
191,4276091,mercearia,Bolachas Dinossauros,0.185,KG,2.29,12.38,€
192,7371366,mercearia,Bolachas Cobertas Chocolate de Leite,0.15,KG,1.29,8.60,€
193,7400660,mercearia,Filete de Cavala em Azeite,0.15,KG,1.49,17.53,€
194,7515071,mercearia,Filete Atum em Azeite,0.12,KG,1.59,13.25,€
195,6592523,mercearia,Feijão Encarnado Cozido,0.54,KG,0.89,2.23,€
196,6605902,mercearia,Atum Posta em Azeite,0.2,KG,2.94,22.62,€
197,2004428,mercearia,Farinha de Trigo Fina com Fermento,1.0,KG,1.99,1.99,€
198,4387780,mercearia,Tomate Pelado,0.39,KG,0.89,2.28,€
199,6395109,mercearia,Conjunto de Saquetas de Fruta Maçã +3A,4.0,KG,2.99,8.31,€
200,6956596,mercearia,Bolachas Magic Dibus com Recheio de Chocolate,0.22,KG,1.29,5.86,€
201,4864270,mercearia,Tomate Triturado,0.4,KG,2.39,5.98,€
202,7067810,mercearia,Cápsulas de Café Encorpado Int 9,10.0,UN,4.29,0.43,€
203,4402173,mercearia,Barras de Cereais Chocolate Negro e Amendoim,0.126,KG,1.29,10.32,€
204,6624414,mercearia,Pastilhas Elásticas Morango,0.0238,KG,1.19,49.58,€
