,time_scraped,quantity,main_category,name,amount,unit,price,price_p_unit,currency,id,brand,full_category,variant,channel
74,16/05/2023 23:29:40,64 UN | 0.30 €/UN,mercearia,Cápsulas de Café Ardenza Int 11,64 UN,UN,18.99,0.30,€,7405693,Dolce Gusto,"Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas",,col
75,16/05/2023 23:29:40,3 X 11 CL | 5.55 €/LT,mercearia,Doses Fruta Pêssego +3A,3 X,LT,1.83,5.55,€,3646700,Compal Essencial,Bebidas e Garrafeira/Sumos e Refrigerantes/Sumos 100% Fruta,,col
76,16/05/2023 23:29:40,240 GR | 5.79 €/KG,mercearia,Batata Frita Ondulada Pack Poupança,240 GR,KG,1.39,5.79,€,7324551,Continente,Mercearia/Snacks e Batatas Fritas/Batatas Fritas,,col
77,16/05/2023 23:29:40,90 GR | 8.22 €/KG,mercearia,"Saqueta de Fruta Pêssego, Maçã e Banana +8M",90 GR,KG,0.74,8.22,€,7273640,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
78,16/05/2023 23:29:40,3 X 11 CL | 5.55 €/LT,mercearia,Doses Fruta Pera +3A,3 X,LT,1.83,5.55,€,3027240,Compal Essencial,Bebidas e Garrafeira/Sumos e Refrigerantes/Sumos 100% Fruta,,col
79,16/05/2023 23:29:40,75 CL | 6.27 €/LT,mercearia,Azeite Subtil,75 CL,LT,4.7,6.27,€,2893574,Gallo,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
80,16/05/2023 23:29:40,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Multifrutos +8M,90 GR,KG,0.74,8.22,€,7273638,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
81,16/05/2023 23:29:40,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Maçã e Morango +8M,90 GR,KG,0.74,8.22,€,7273633,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
82,16/05/2023 23:29:40,500 GR | 2.42 €/KG,mercearia,Massa Espirais Fusilli Tricolor,500 GR,KG,1.21,2.42,€,2003334,Milaneza,"Mercearia/Arroz, Massa e Farinha/Massa",,col
83,16/05/2023 23:29:40,120 GR (PESO ESCORRIDO 85 GR) | 10.94 €/KG,mercearia,Atum em Óleo,120 GR,KG,0.93,10.94,€,3697798,Continente,Mercearia/Conservas/Atum,,col
84,16/05/2023 23:29:40,385 GR (PESO ESCORRIDO 251 GR) | 21.35 €/KG,mercearia,Atum Posta em Azeite,385 GR,KG,5.36,21.35,€,5569427,Bom Petisco,Mercearia/Conservas/Atum,,col
85,16/05/2023 23:29:40,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Multifrutas +6M,90 GR,KG,0.74,8.22,€,5784467,Nestlé,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
86,16/05/2023 23:29:40,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Maçã e Manga +6M,90 GR,KG,0.74,8.22,€,6206407,Nestlé,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
87,16/05/2023 23:29:40,3 X 11 CL | 5.55 €/LT,mercearia,Doses Fruta Maçã +3A,3 X,LT,1.83,5.55,€,3646699,Compal Essencial,Bebidas e Garrafeira/Sumos e Refrigerantes/Sumos 100% Fruta,,col
88,16/05/2023 23:29:40,410 GR (PESO ESCORRIDO 234 GR) | 4.23 €/KG,mercearia,Feijão Frade Cozido,410 GR,KG,0.99,4.23,€,2003582,Compal da Horta,Mercearia/Conservas/Feijão e Grão de Bico,,col
89,16/05/2023 23:29:40,845 GR (PESO ESCORRIDO 468 GR) | 4.25 €/KG,mercearia,Grão de Bico Cozido sem Glúten,845 GR,KG,1.99,4.25,€,2003591,Compal da Horta,Mercearia/Conservas/Feijão e Grão de Bico,,col
