Name,Quantity,Price,Time scraped
 Açúcar Demerara RAR ," 500 G  | 3,98 €/KG
"," 1,99 € ",2023-05-12 18:26:22
 Açúcar Branco Extrafino RAR ," 1 KG  | 1,89 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Cogumelos Laminados Pingo Doce ," 185 G  | 4,05 €/KG
"," 0,75 € ",2023-05-12 18:26:22
 Milho Doce Pingo Doce ," 150 G  | 4,33 €/KG
"," 0,65 € ",2023-05-12 18:26:22
 Snack de Maçã e Canela Fruut ," 20 G  | 49,50 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Açúcar Branco Granulado RAR ," 1 KG  | 1,69 €/KG
"," 1,69 € ",2023-05-12 18:26:22
 Bolsa de Fruta Frutos Vermelhos Pingo Doce ," 120 G  | 7,42 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Pudim Flan Pingo Doce Económico ," 4X5.6 G  | 38,64 €/KG
"," 0,85 € ",2023-05-12 18:26:22
 Pudim de Caramelo Pingo Doce ," 90 G  | 5,00 €/KG
"," 0,45 € ",2023-05-12 18:26:22
 Café Pastilhas Intenso Pingo Doce ," 15 UN  | 0,14 €/UNIDADE
"," 2,09 € ",2023-05-12 18:26:22
 Bolsa 100% Frutas e Aveia Pingo Doce ," 120 G  | 7,42 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Polpa de Manga Koala ," 450 G  | 5,42 €/KG
"," 2,44 € ",2023-05-12 18:26:22
 Bolsa de Fruta Multifrutos com Aveia Pingo Doce ," 120 G  | 7,42 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Granola com Sementes Ancestrais Pingo Doce ," 375 G  | 7,44 €/KG
"," 2,79 € ",2023-05-12 18:26:22
 Leite Evaporado Pingo Doce ," 410 G  | 3,15 €/KG
"," 1,29 € ",2023-05-12 18:26:22
 Creme de Barrar de Chocolate Negro Nocilla ," 180 G  | 15,78 €/KG
"," 2,84 € ",2023-05-12 18:26:22
 Creme de Barrar Original 0% Açúcar Nocilla ," 190 G  | 16,79 €/KG
"," 3,19 € ",2023-05-12 18:26:22
 Creme de Barrar Original Nocilla ," 190 G  | 12,58 €/KG
"," 2,39 € ",2023-05-12 18:26:22
 Vinagre de Vinho Branco Pingo Doce ," 1 L  | 0,59 €/LT
"," 0,59 € ",2023-05-12 18:26:22
