,Time scraped,Category,Name,Amount,Units,List_Price,Price_per_unit_of_measure,Currency
234,2023-05-12 18:26:22,mercearia, Rebuçados Caramelos e Fruta Nazaré ,0.25,KG,2.39,9.56,€
235,2023-05-12 18:26:22,mercearia, Pastilha Elástica Menta Pure Fresh Mentos ,0.03,KG,1.84,61.33,€
236,2023-05-12 18:26:22,mercearia, Fermento em Pó Pingo Doce ,0.15,KG,1.39,9.27,€
237,2023-05-12 18:26:22,mercearia, Cereais Bran Flakes Pingo Doce ,0.375,KG,1.59,4.24,€
238,2023-05-12 18:26:22,mercearia, Conjunto de Doces Miniaturas Casa da Prisca ,0.09,KG,2.49,27.67,€
239,2023-05-12 18:26:22,mercearia, Mousse de Pato com Pimenta Preta Pingo Doce ,0.08,KG,1.39,17.38,€
240,2023-05-12 18:26:22,mercearia, Tablete de Chocolate Leite com Cereais Inteiras Pingo Doce ,0.1,KG,0.69,6.9,€
241,2023-05-12 18:26:22,mercearia, Cereais Linha de Frutos Vermelhos Pingo Doce ,0.3,KG,2.19,7.3,€
242,2023-05-12 18:26:22,mercearia, Bolachas Integrais Pingo Doce - 4 un ,0.2,KG,1.19,5.95,€
243,2023-05-12 18:26:22,mercearia, Bolachas com Recheio Oreo ,0.066,KG,0.99,15.0,€
